Date,Product,Category,Quantity,Price,Sales,Customer_ID,Region,Payment_Method,Customer_Type,Discount
2023-01-01,Smartphone,Electronics,1,884.59,751.9,CUST1965,Greater Accra,Card,Retail,0.15
2023-01-01,Mouse,Accessories,10,18.76,153.83,CUST1712,Greater Accra,Cash,Wholesale,0.18
2023-01-02,USB Drive,Accessories,4,15.21,58.41,CUST1968,Central,Cash,Retail,0.04
2023-01-02,Phone Case,Accessories,1,28.13,27.29,CUST1685,Greater Accra,Cash,Retail,0.03
2023-01-02,Keyboard,Accessories,7,91.28,549.51,CUST1830,Greater Accra,Cash,Wholesale,0.14
2023-01-02,Laptop,Electronics,11,996.59,9646.99,CUST1195,Bono,Mobile Money,Wholesale,0.12
2023-01-02,Tablet,Electronics,2,436.64,724.82,CUST1925,Northern,Card,Wholesale,0.17
2023-01-03,Monitor,Electronics,5,244.3,1050.49,CUST1606,Western,Cash,Retail,0.14
2023-01-03,Webcam,Electronics,3,75.5,197.06,CUST1913,Ashanti,Cash,Retail,0.13
2023-01-04,Phone Case,Accessories,2,11.37,22.51,CUST1776,Eastern,Mobile Money,Retail,0.01
2023-01-04,Laptop,Electronics,6,1251.14,6530.95,CUST1964,Greater Accra,Mobile Money,Retail,0.13
2023-01-05,USB Drive,Accessories,5,35.47,140.11,CUST1150,Volta,Card,Wholesale,0.21
2023-01-05,Mouse,Accessories,2,43.88,86.88,CUST1351,Northern,Cash,Retail,0.01
2023-01-05,Phone Case,Accessories,13,11.5,133.06,CUST1740,Ashanti,Card,Wholesale,0.11
2023-01-05,Phone Case,Accessories,1,39.76,36.98,CUST1648,Greater Accra,Mobile Money,Retail,0.07
2023-01-05,Webcam,Electronics,1,109.95,94.56,CUST1575,Greater Accra,Cash,Retail,0.14
2023-01-06,Smartphone,Electronics,1,1077.1,1001.7,CUST1080,Western,Bank Transfer,Retail,0.07
2023-01-06,Smartphone,Electronics,3,822.27,2121.46,CUST1311,Greater Accra,Mobile Money,Retail,0.14
2023-01-06,Phone Case,Accessories,2,40.19,75.56,CUST1624,Ashanti,Mobile Money,Retail,0.06
2023-01-08,Phone Case,Accessories,1,38.11,33.16,CUST1773,Greater Accra,Cash,Retail,0.13
2023-01-09,Mouse,Accessories,1,36.27,35.91,CUST1574,Greater Accra,Card,Retail,0.01
2023-01-10,Desk Lamp,Furniture,2,41.98,71.37,CUST1684,Eastern,Mobile Money,Retail,0.15
2023-01-10,Headphones,Electronics,3,81.85,240.64,CUST1753,Eastern,Mobile Money,Retail,0.02
2023-01-10,Mouse,Accessories,1,15.43,13.42,CUST1617,Central,Card,Retail,0.13
2023-01-11,Tablet,Electronics,1,430.22,387.2,CUST1424,Greater Accra,Mobile Money,Retail,0.1
2023-01-11,Headphones,Electronics,13,122.93,1406.32,CUST1673,Eastern,Mobile Money,Retail,0.12
2023-01-11,Phone Case,Accessories,3,10.05,28.04,CUST1270,Northern,Bank Transfer,Retail,0.07
2023-01-12,Tablet,Electronics,5,510.43,2424.54,CUST1914,Greater Accra,Mobile Money,Wholesale,0.05
2023-01-12,Keyboard,Accessories,1,102.24,100.2,CUST1428,Eastern,Mobile Money,Retail,0.02
2023-01-13,Desk Lamp,Furniture,5,52.84,264.2,CUST1959,Greater Accra,Mobile Money,Retail,0.0
2023-01-13,Mouse,Accessories,1,49.45,44.01,CUST1189,Greater Accra,Card,Retail,0.11
2023-01-13,Phone Case,Accessories,1,13.47,12.53,CUST1279,Greater Accra,Card,Retail,0.07
2023-01-15,Phone Case,Accessories,3,20.95,60.96,CUST1233,Greater Accra,Mobile Money,Retail,0.03
2023-01-15,Monitor,Electronics,1,242.5,213.4,CUST1811,Northern,Cash,Retail,0.12
